Equipment Number,Original Description,Suggested Edit,Confidence,Reasoning,Object Type (Original),Object Type (Suggested),Functional System Category,Functional System
2000000262,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000004215,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,CIRCULATING WATER,DISCHARGE
2000004216,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,CIRCULATING WATER,DISCHARGE
2000004217,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,#N/A,#N/A
2000004218,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,#N/A,#N/A
2000004219,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,BLOWDOWN
2000004220,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,DISPOSAL
2000004221,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,DISPOSAL
2000004222,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,BLOWDOWN
2000004254,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ASH,BOTTOM ASH
2000004263,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000004264,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000004265,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000004266,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ASH,BOTTOM ASH
2000004500,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,REGENERATION
2000004501,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,REGENERATION
2000004502,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,REGENERATION
2000004544,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ASH,#N/A
2000004545,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ASH,#N/A
2000004546,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ASH,#N/A
2000004547,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,AUXILIARY BOILER
2000004548,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,AUXILIARY BOILER
2000004549,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,AUXILIARY BOILER
2000004550,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,SERVICE WATER/ACW
2000004551,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,SERVICE WATER/ACW
2000004552,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,SERVICE WATER/ACW
2000004553,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,COMPRESSED GAS
2000004554,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,COMPRESSED GAS
2000004817,E Locker Room,East Locker Room,90,Expanded directional based on contextual keywords; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,BUILDING(S)
2000004818,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000004829,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,DEMINERALIZER
2000004830,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,DEMINERALIZER
2000004831,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,DEMINERALIZER
2000004885,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,WELL
2000004886,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,WELL
2000004887,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,WELL
2000004888,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,STORAGE
2000004889,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SAFETY
2000004890,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,STEAM,SALES
2000004891,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,STEAM,SALES
2000004892,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,CRANE
2000004893,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,PREPARATION
2000004894,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,CHEMICAL FEED
2000004895,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,CHEMICAL FEED
2000004896,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,CHEMICAL FEED
2000004897,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,FUELING
2000004898,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,FUELING
2000004899,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,FUELING
2000005100,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,GENERATOR,HYDROGEN
2000005101,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,GENERATOR,HYDROGEN
2000005102,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,STEAM,SALES
2000005103,All Personnel Door,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,BUILDING(S)
2000005104,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,BUILDING(S)
2000005105,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,BUILDING(S)
2000005106,1 Gas Tank,,100,No change needed; Object Type mapped TANK -> Tank,TANK,Tank,SUPPORT EQUIPMENT,FUELING
2000005107,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,LAB
2000005108,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,LAB
2000005109,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,CRANE
2000005110,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,CRANE
2000005111,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,COMMUNICATION
2000005112,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,COMMUNICATION
2000005113,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,COMMUNICATION
2000005114,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,ELEVATOR
2000005115,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000005116,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000005117,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,DUST SUPPRESSION
2000005118,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,DUST SUPPRESSION
2000005119,I&c Shop Computer Room Building,,100,No change needed; Object Type mapped STRCT -> Structure,STRCT,Structure,PLANT,BUILDING(S)
2000005120,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,FIRE PROTECTION
2000005121,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,FIRE PROTECTION
2000005122,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,LAB
2000005123,Fuse,,100,No change needed; Object Type mapped FUSE -> Fuse,FUSE,Fuse,ELECTRICAL,LOW VOLTAGE
2000005124,19A Edh Heater,,100,No change needed; Object Type mapped HEATR -> Heater,HEATR,Heater,PLANT,HVAC
2000005125,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,STATION
2000005126,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,STATION
2000005127,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,#N/A
2000005128,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,#N/A
2000005129,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,#N/A
2000005130,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,DUST SUPPRESSION
2000005131,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,STACK
2000005132,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,STACK
2000005133,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,STACK
2000005134,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,SCRUBBER
2000005135,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,SCRUBBER
2000005136,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,VACUUM SYSTEM
2000005137,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,VACUUM SYSTEM
2000005138,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,STORAGE
2000005139,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SITE
2000005140,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SITE
2000005141,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SITE
2000005142,Fuse,,100,No change needed; Object Type mapped FUSE -> Fuse,FUSE,Fuse,ELECTRICAL,LOW VOLTAGE
2000005143,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,STATION
2000005144,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SEPTIC
2000005145,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SEPTIC
2000005146,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000005147,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000005148,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,REAGENT PREPARATION
2000005149,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,REAGENT PREPARATION
2000005150,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,SUPPLY
2000005151,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,SUPPLY
2000005152,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,SUPPLY
2000005153,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,PREPARATION
2000005154,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FUEL,PREPARATION
2000005155,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,HVAC
2000005156,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,HVAC
2000005157,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,HVAC
2000005158,All Ice Chest,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000005159,All Potable Water,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000005160,All Safety Eyewash Eye Wash Solution,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000005161,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,REAGENT PREPARATION
2000005162,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,SHOP
2000005163,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,SHOP
2000005164,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,MERCURY REMOVAL
2000005166,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,ELEVATOR
2000005167,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,ELEVATOR
2000005168,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,FIRE PROTECTION
2000005172,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,#N/A
2000005173,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,#N/A
2000005174,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,#N/A
2000005424,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,#N/A
2000005425,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,#N/A
2000005426,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,SUPPORT EQUIPMENT,#N/A
2000006317,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,BOILER,SECONDARY AIR
2000006322,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,BOILER,REHEAT
2000006323,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,BOILER,REHEAT
2000006335,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HYDRAULIC
2000006336,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HYDRAULIC
2000006337,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HYDRAULIC
2000006338,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,MAKEUP
2000006339,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,STRUCTURE
2000006340,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,STRUCTURE
2000006341,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,STRUCTURE
